Explanation;Flesch Reading Ease;Flesch-Kincaid Grade Level;Gunning Fog Index;Coleman-Liau Index;Automated Readability Index;Grammaticality
Researcher1, a staff member at Institute1, can read the dataset8. Researcher1 is permitted to consult a public data in a default context, where dataset8 is considered as a public data, reading it is classified as consulting activity, and Institute1 is part of the Consortium.;49.15;11.90;15.16;12.36;14.40;1.00
Researcher1 is permitted to consult a public data in a default context, where dataset8 is considered as a public data, selecting it is classified as consulting activity, and Institute1 is part of the Consortium.;28.51;17.70;23.01;13.01;20.30;1.00
Researcher4 is permitted to consult a public data in a default context, where dataset8 is considered as a public data, reading it is classified as consulting activity, and Institute1 is part of the Consortium.;28.51;17.70;21.84;12.66;20.00;1.00
Researcher4 is permitted to consult a public data in a default context, where dataset8 is considered as a public data, selecting it is classified as consulting activity, and Institute1 is part of the Consortium.;28.51;17.70;23.01;13.01;20.30;1.00
There is a conflict in the access of dataset1 for Researcher1. Researcher1, an employee at Institute1, can read the dataset1. Researcher1 is permitted to consult a confidential data in a default context, where dataset1 is considered as a confidential data, reading it is classified as consulting activity, and Institute1 is part of the Consortium. Researcher1, a staff member at Institute1, cannot read the dataset1. Researcher1 is prohibited from consulting a confidential data in a default context, where dataset1 is considered as a confidential data, reading it is classified as consulting activity, and Institute1 is part of the Consortium. Researcher1 can read dataset1 because there is no support for the prohibition.;44.44;11.60;11.32;14.27;14.00;0.97
There is a conflict in the access of dataset5 for Researcher1. Researcher1, an employee at Institute1, can read the dataset5. Researcher1 is permitted to consult a confidential data in a default context, where dataset5 is considered as a confidential data, reading it is classified as consulting activity, and Institute1 is part of the Consortium. Researcher1, a staff member at Institute1, cannot read the dataset5. Researcher1 is prohibited from consulting a confidential data in a default context, where dataset5 is considered as a confidential data, reading it is classified as consulting activity, and Institute1 is part of the Consortium. Researcher1 can read dataset5 because there is no support for the prohibition.;44.44;11.60;11.32;14.27;14.00;0.97
There is a conflict in the access of dataset1 for Researcher1. Researcher1, an employee at Institute1, can select the dataset1. Researcher1 is permitted to consult a confidential data in a default context, where dataset1 is considered as a confidential data, selecting it is classified as consulting activity, and Institute1 is part of the Consortium. Researcher1, a staff member at Institute1, cannot select the dataset1. Researcher1 is prohibited from consulting a confidential data in a default context, where dataset1 is considered as a confidential data, selecting it is classified as consulting activity, and Institute1 is part of the Consortium. Researcher1 can select dataset1 because there is no support for the prohibition.;44.44;11.60;11.68;14.79;14.40;0.97
There is a conflict in the access of dataset5 for Researcher1. Researcher1, an employee at Institute1, can select the dataset5. Researcher1 is permitted to consult a confidential data in a default context, where dataset5 is considered as a confidential data, selecting it is classified as consulting activity, and Institute1 is part of the Consortium. Researcher1, a staff member at Institute1, cannot select the dataset5. Researcher1 is prohibited from consulting a confidential data in a default context, where dataset5 is considered as a confidential data, selecting it is classified as consulting activity, and Institute1 is part of the Consortium. Researcher1 can select dataset5 because there is no support for the prohibition.;44.44;11.60;11.68;14.79;14.40;0.97
There is a conflict in the access of dataset1 for Researcher4. Researcher4, an employee at Institute1, can read the dataset1. Researcher4 is permitted to consult a confidential data in a default context, where dataset1 is considered as a confidential data, reading it is classified as consulting activity, and Institute1 is part of the Consortium. Researcher4, a staff member at Institute1, cannot read the dataset1. Researcher4 is prohibited from consulting a confidential data in a default context, where dataset1 is considered as a confidential data, reading it is classified as consulting activity, and Institute1 is part of the Consortium. There are contrasts. Therefore, because of the conflicts, Researcher4 can read dataset1.;47.08;10.60;9.92;14.32;13.10;0.98
There is a conflict in the access of dataset5 for Researcher4. Researcher4, an employee at Institute1, can read the dataset5. Researcher4 is permitted to consult a confidential data in a default context, where dataset5 is considered as a confidential data, reading it is classified as consulting activity, and Institute1 is part of the Consortium. Researcher4, a staff member at Institute1, cannot read the dataset5. Researcher4 is prohibited from consulting a confidential data in a default context, where dataset5 is considered as a confidential data, reading it is classified as consulting activity, and Institute1 is part of the Consortium. There are contrasts. Therefore, because of the conflicts, Researcher4 can read dataset5.;47.08;10.60;9.92;14.32;13.10;0.98
There is a conflict in the access of dataset1 for Researcher4. Researcher4, an employee at Institute1, can select the dataset1. Researcher4 is permitted to consult a confidential data in a default context, where dataset1 is considered as a confidential data, selecting it is classified as consulting activity, and Institute1 is part of the Consortium. Researcher4, a staff member at Institute1, cannot select the dataset1. Researcher4 is prohibited from consulting a confidential data in a default context, where dataset1 is considered as a confidential data, selecting it is classified as consulting activity, and Institute1 is part of the Consortium. There are contrasts. Therefore, because of the conflicts, Researcher4 can select dataset1.;47.08;10.60;10.28;14.85;13.60;0.98
